,0,1,2
0,0.573,0.16,0.267
1,0.59,0.143,0.267
2,0.592,0.127,0.281
3,0.58,0.134,0.286
4,0.602,0.117,0.281
5,0.613,0.116,0.271
6,0.593,0.121,0.286
7,0.612,0.135,0.253
8,0.607,0.126,0.267
9,0.563,0.145,0.292
10,0.612,0.129,0.259
11,0.593,0.124,0.283
12,0.598,0.136,0.266
13,0.597,0.131,0.272
14,0.608,0.135,0.257
15,0.597,0.14,0.263
16,0.605,0.133,0.262
17,0.581,0.134,0.285
18,0.555,0.152,0.293
19,0.592,0.152,0.256
20,0.598,0.141,0.261
21,0.548,0.159,0.293
22,0.582,0.149,0.269
23,0.563,0.138,0.299
24,0.61,0.113,0.277
25,0.577,0.142,0.281
26,0.597,0.14,0.263
27,0.61,0.136,0.254
28,0.582,0.139,0.279
29,0.585,0.149,0.266
30,0.6,0.141,0.259
31,0.581,0.137,0.282
32,0.583,0.149,0.268
33,0.566,0.138,0.296
34,0.576,0.151,0.273
35,0.571,0.148,0.281
36,0.59,0.129,0.281
37,0.561,0.136,0.303
38,0.564,0.138,0.298
39,0.608,0.143,0.249
40,0.565,0.145,0.29
41,0.609,0.122,0.269
42,0.601,0.134,0.265
43,0.59,0.129,0.281
44,0.591,0.135,0.274
45,0.564,0.14,0.296
46,0.551,0.145,0.304
47,0.596,0.143,0.261
48,0.576,0.146,0.278
49,0.593,0.124,0.283
50,0.592,0.134,0.274
51,0.572,0.143,0.285
52,0.613,0.134,0.253
53,0.605,0.139,0.256
54,0.603,0.142,0.255
55,0.591,0.15,0.259
56,0.598,0.144,0.258
57,0.605,0.139,0.256
58,0.563,0.159,0.278
59,0.586,0.146,0.268
60,0.559,0.158,0.283
61,0.601,0.119,0.28
62,0.589,0.152,0.259
63,0.596,0.143,0.261
64,0.572,0.132,0.296
65,0.566,0.145,0.289
66,0.576,0.139,0.285
67,0.624,0.126,0.25
68,0.591,0.126,0.283
69,0.581,0.127,0.292
70,0.566,0.146,0.288
71,0.617,0.116,0.267
72,0.587,0.122,0.291
73,0.597,0.129,0.274
74,0.583,0.143,0.274
75,0.582,0.146,0.272
76,0.587,0.136,0.277
77,0.607,0.125,0.268
78,0.596,0.141,0.263
79,0.597,0.113,0.29
80,0.577,0.137,0.286
81,0.601,0.132,0.267
82,0.595,0.149,0.256
83,0.601,0.118,0.281
84,0.575,0.142,0.283
85,0.587,0.133,0.28
86,0.582,0.135,0.283
87,0.591,0.137,0.272
88,0.589,0.13,0.281
89,0.592,0.144,0.264
90,0.586,0.149,0.265
91,0.582,0.143,0.274
92,0.604,0.112,0.282
93,0.61,0.107,0.281
94,0.613,0.114,0.271
95,0.598,0.129,0.271
96,0.62,0.129,0.249
97,0.602,0.129,0.267
98,0.597,0.114,0.286
99,0.616,0.115,0.265
100,0.578,0.137,0.276
101,0.602,0.127,0.259
102,0.576,0.144,0.264
103,0.573,0.155,0.252
104,0.581,0.137,0.258
105,0.56,0.124,0.284
106,0.568,0.143,0.25
107,0.569,0.145,0.241
108,0.563,0.131,0.25
109,0.578,0.127,0.228
110,0.523,0.135,0.26
111,0.527,0.127,0.247
112,0.537,0.114,0.236
113,0.493,0.142,0.232
114,0.507,0.114,0.232
115,0.509,0.117,0.201
116,0.447,0.12,0.236
117,0.449,0.099,0.234
118,0.44,0.111,0.198
119,0.415,0.102,0.197
120,0.406,0.095,0.188
121,0.389,0.084,0.184
122,0.357,0.078,0.186
123,0.362,0.08,0.153
124,0.333,0.085,0.144
125,0.31,0.08,0.137
126,0.272,0.074,0.154
127,0.269,0.059,0.133
128,0.239,0.052,0.128
129,0.2,0.064,0.112
130,0.214,0.044,0.089
131,0.173,0.054,0.094
132,0.153,0.047,0.085
133,0.139,0.034,0.08
134,0.131,0.037,0.07
135,0.117,0.035,0.061
136,0.106,0.02,0.052
137,0.098,0.014,0.044
138,0.076,0.024,0.037
139,0.062,0.024,0.029
140,0.054,0.014,0.027
141,0.044,0.01,0.026
142,0.036,0.013,0.021
143,0.034,0.01,0.014
144,0.028,0.002,0.015
145,0.024,0.002,0.015
146,0.018,0.006,0.012
147,0.013,0.004,0.01
148,0.015,0.003,0.003
149,0.007,0.002,0.01
150,0.008,0.003,0.005
151,0.01,0.003,0.001
152,0.006,0.003,0.004
153,0.006,0.003,0.003
154,0.004,0.003,0.003
155,0.006,0.001,0.001
156,0.004,0.001,0.001
157,0.001,0.0,0.004
158,0.005,0.0,0.0
159,0.004,0.0,0.0
160,0.001,0.001,0.0
161,0.0,0.0,0.001
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
