,0,1,2
0,0.949,0.022,0.029
1,0.94,0.028,0.032
2,0.948,0.022,0.03
3,0.952,0.024,0.024
4,0.941,0.023,0.036
5,0.946,0.027,0.027
6,0.957,0.016,0.027
7,0.952,0.019,0.029
8,0.95,0.02,0.03
9,0.954,0.017,0.029
10,0.951,0.013,0.036
11,0.96,0.018,0.022
12,0.954,0.019,0.027
13,0.954,0.021,0.025
14,0.947,0.017,0.036
15,0.949,0.021,0.03
16,0.941,0.017,0.042
17,0.951,0.021,0.028
18,0.94,0.023,0.037
19,0.947,0.022,0.031
20,0.955,0.014,0.031
21,0.926,0.022,0.052
22,0.912,0.024,0.064
23,0.932,0.027,0.041
24,0.902,0.03,0.068
25,0.9,0.031,0.069
26,0.91,0.033,0.057
27,0.857,0.055,0.088
28,0.877,0.054,0.069
29,0.849,0.054,0.097
30,0.879,0.051,0.07
31,0.853,0.048,0.099
32,0.844,0.061,0.095
33,0.828,0.063,0.109
34,0.831,0.068,0.101
35,0.822,0.071,0.107
36,0.832,0.063,0.105
37,0.811,0.07,0.119
38,0.819,0.07,0.111
39,0.814,0.063,0.123
40,0.814,0.074,0.112
41,0.799,0.07,0.131
42,0.775,0.084,0.141
43,0.731,0.1,0.169
44,0.751,0.091,0.158
45,0.763,0.082,0.155
46,0.724,0.095,0.181
47,0.699,0.117,0.184
48,0.689,0.115,0.196
49,0.683,0.107,0.21
50,0.679,0.108,0.213
51,0.637,0.143,0.22
52,0.624,0.127,0.249
53,0.597,0.144,0.259
54,0.604,0.145,0.251
55,0.548,0.175,0.277
56,0.538,0.161,0.301
57,0.536,0.164,0.3
58,0.52,0.17,0.31
59,0.48,0.205,0.315
60,0.466,0.181,0.353
61,0.52,0.176,0.304
62,0.463,0.201,0.336
63,0.469,0.194,0.337
64,0.461,0.19,0.349
65,0.455,0.194,0.351
66,0.441,0.197,0.362
67,0.411,0.195,0.394
68,0.42,0.212,0.368
69,0.408,0.21,0.382
70,0.418,0.198,0.384
71,0.417,0.215,0.368
72,0.41,0.199,0.391
73,0.411,0.2,0.389
74,0.418,0.21,0.372
75,0.403,0.204,0.393
76,0.423,0.21,0.367
77,0.422,0.208,0.37
78,0.414,0.227,0.359
79,0.426,0.174,0.4
80,0.372,0.218,0.41
81,0.398,0.202,0.4
82,0.406,0.195,0.399
83,0.399,0.208,0.393
84,0.411,0.189,0.4
85,0.39,0.215,0.395
86,0.399,0.194,0.407
87,0.415,0.179,0.406
88,0.419,0.192,0.388
89,0.391,0.209,0.399
90,0.403,0.194,0.401
91,0.427,0.207,0.364
92,0.395,0.2,0.403
93,0.357,0.221,0.419
94,0.389,0.196,0.411
95,0.377,0.207,0.41
96,0.381,0.207,0.403
97,0.399,0.178,0.411
98,0.391,0.2,0.391
99,0.356,0.204,0.415
100,0.37,0.19,0.409
101,0.367,0.186,0.408
102,0.365,0.175,0.418
103,0.394,0.187,0.372
104,0.373,0.163,0.403
105,0.365,0.175,0.389
106,0.342,0.167,0.403
107,0.376,0.146,0.38
108,0.361,0.147,0.376
109,0.342,0.142,0.382
110,0.31,0.173,0.373
111,0.326,0.15,0.363
112,0.318,0.169,0.329
113,0.326,0.13,0.337
114,0.296,0.157,0.317
115,0.291,0.141,0.3
116,0.266,0.132,0.305
117,0.274,0.117,0.288
118,0.237,0.114,0.292
119,0.227,0.124,0.259
120,0.244,0.098,0.23
121,0.199,0.106,0.238
122,0.191,0.111,0.216
123,0.18,0.104,0.205
124,0.171,0.086,0.202
125,0.172,0.079,0.171
126,0.171,0.064,0.152
127,0.146,0.062,0.141
128,0.134,0.047,0.135
129,0.106,0.06,0.129
130,0.103,0.057,0.105
131,0.095,0.042,0.104
132,0.08,0.039,0.09
133,0.061,0.051,0.079
134,0.063,0.032,0.071
135,0.057,0.033,0.064
136,0.054,0.025,0.057
137,0.036,0.022,0.065
138,0.047,0.021,0.039
139,0.03,0.023,0.042
140,0.024,0.016,0.037
141,0.028,0.011,0.031
142,0.022,0.013,0.024
143,0.022,0.003,0.018
144,0.015,0.01,0.013
145,0.011,0.003,0.017
146,0.005,0.005,0.011
147,0.005,0.003,0.009
148,0.003,0.004,0.007
149,0.004,0.003,0.002
150,0.003,0.001,0.005
151,0.002,0.002,0.003
152,0.002,0.001,0.004
153,0.004,0.001,0.001
154,0.002,0.002,0.001
155,0.0,0.001,0.002
156,0.0,0.001,0.001
157,0.0,0.0,0.002
158,0.0,0.001,0.0
159,0.0,0.0,0.001
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
