,0,1,2
0,0.581,0.132,0.287
1,0.597,0.131,0.272
2,0.624,0.124,0.252
3,0.571,0.145,0.284
4,0.607,0.132,0.261
5,0.59,0.132,0.278
6,0.608,0.129,0.263
7,0.58,0.146,0.274
8,0.593,0.132,0.275
9,0.607,0.129,0.264
10,0.597,0.13,0.273
11,0.611,0.133,0.256
12,0.596,0.154,0.25
13,0.578,0.143,0.279
14,0.592,0.129,0.279
15,0.597,0.149,0.254
16,0.565,0.144,0.291
17,0.602,0.131,0.267
18,0.564,0.135,0.301
19,0.604,0.126,0.27
20,0.595,0.121,0.284
21,0.61,0.142,0.248
22,0.561,0.154,0.285
23,0.571,0.146,0.283
24,0.592,0.154,0.254
25,0.574,0.128,0.298
26,0.601,0.132,0.267
27,0.602,0.13,0.268
28,0.614,0.128,0.258
29,0.586,0.126,0.288
30,0.591,0.143,0.266
31,0.586,0.121,0.293
32,0.572,0.144,0.284
33,0.563,0.143,0.294
34,0.597,0.135,0.268
35,0.581,0.139,0.28
36,0.538,0.169,0.293
37,0.565,0.157,0.278
38,0.576,0.134,0.29
39,0.602,0.149,0.249
40,0.578,0.149,0.273
41,0.598,0.144,0.258
42,0.606,0.126,0.268
43,0.592,0.14,0.268
44,0.612,0.118,0.27
45,0.58,0.126,0.294
46,0.6,0.12,0.28
47,0.57,0.144,0.286
48,0.571,0.145,0.284
49,0.595,0.132,0.273
50,0.604,0.134,0.262
51,0.587,0.133,0.28
52,0.601,0.121,0.278
53,0.604,0.118,0.278
54,0.593,0.135,0.272
55,0.604,0.131,0.265
56,0.58,0.116,0.304
57,0.591,0.134,0.275
58,0.567,0.141,0.292
59,0.581,0.14,0.279
60,0.6,0.137,0.263
61,0.592,0.13,0.278
62,0.597,0.139,0.264
63,0.596,0.132,0.272
64,0.584,0.134,0.282
65,0.585,0.129,0.286
66,0.603,0.119,0.278
67,0.571,0.152,0.277
68,0.594,0.127,0.279
69,0.574,0.136,0.29
70,0.572,0.152,0.276
71,0.612,0.103,0.285
72,0.584,0.146,0.27
73,0.588,0.139,0.273
74,0.587,0.132,0.281
75,0.585,0.137,0.278
76,0.593,0.13,0.277
77,0.625,0.128,0.247
78,0.596,0.154,0.25
79,0.606,0.131,0.263
80,0.587,0.124,0.289
81,0.585,0.133,0.282
82,0.603,0.113,0.284
83,0.581,0.133,0.286
84,0.576,0.151,0.273
85,0.618,0.126,0.256
86,0.581,0.15,0.269
87,0.592,0.145,0.263
88,0.593,0.141,0.266
89,0.593,0.137,0.27
90,0.612,0.15,0.238
91,0.566,0.145,0.289
92,0.557,0.155,0.287
93,0.564,0.142,0.292
94,0.592,0.132,0.274
95,0.599,0.132,0.267
96,0.564,0.151,0.283
97,0.574,0.141,0.282
98,0.595,0.133,0.269
99,0.585,0.147,0.263
100,0.604,0.125,0.265
101,0.589,0.139,0.265
102,0.586,0.134,0.269
103,0.556,0.13,0.297
104,0.56,0.14,0.282
105,0.589,0.116,0.272
106,0.6,0.124,0.245
107,0.574,0.147,0.24
108,0.547,0.143,0.259
109,0.515,0.14,0.282
110,0.522,0.138,0.268
111,0.529,0.133,0.246
112,0.529,0.121,0.244
113,0.52,0.119,0.232
114,0.491,0.129,0.223
115,0.493,0.114,0.212
116,0.482,0.108,0.208
117,0.439,0.125,0.214
118,0.456,0.102,0.196
119,0.422,0.094,0.212
120,0.43,0.104,0.169
121,0.391,0.103,0.18
122,0.374,0.099,0.168
123,0.354,0.079,0.17
124,0.338,0.086,0.14
125,0.306,0.072,0.14
126,0.285,0.068,0.132
127,0.27,0.066,0.117
128,0.241,0.069,0.115
129,0.205,0.063,0.111
130,0.194,0.043,0.106
131,0.177,0.042,0.097
132,0.17,0.021,0.098
133,0.142,0.035,0.088
134,0.131,0.038,0.065
135,0.12,0.027,0.056
136,0.111,0.023,0.038
137,0.09,0.021,0.038
138,0.08,0.016,0.034
139,0.062,0.019,0.029
140,0.057,0.011,0.027
141,0.054,0.013,0.019
142,0.041,0.011,0.023
143,0.033,0.007,0.016
144,0.032,0.003,0.01
145,0.017,0.006,0.007
146,0.017,0.003,0.002
147,0.01,0.003,0.006
148,0.008,0.003,0.004
149,0.011,0.001,0.002
150,0.007,0.002,0.001
151,0.004,0.001,0.003
152,0.007,0.0,0.001
153,0.002,0.001,0.002
154,0.002,0.001,0.002
155,0.002,0.001,0.001
156,0.001,0.001,0.001
157,0.002,0.0,0.001
158,0.003,0.0,0.0
159,0.0,0.001,0.001
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
